,text,sentiment
27,starting a support group for Boris Johnson backers.\n.\nAssholes Anonymous.\n.\n #HugeProblemToASaneWorld #BackBorisJohnson #CryptoNews #quote #StrangerThings #InBorisWeTrust  #TickleMyBalls #surijokes,-1
28,"@SurreyPalmsWX @UKPoliticalPics Boris Johnson admitted on the record to GQ magazine in 2007 to being a cocaine user. One in thirty UK adults uses class A drugs, with highest prevalence among wealthy urbanites. London journalists are notoriously heavy cocaine users. How are you so naive?",-1
29,EXCLUSIVE: TORY MPs who plotted to oust Prime Minister Boris Johnson held secret meetings with the Liberal Democrats and…,1
30,"@willbardwell I\'m devastated as I clicked the link ""Johnson Resigns"" and was hoping that it was Boris.",-1
31,"Is Boris Johnson some sort of Tory Frankenstein, created in underground Westminster labs by crazed Conservative scientists?",-1
32,"@BBCNews CONFIDENCE VOTE\n41.2 % parliamentarians voted against Mr Boris Johnson. Keeping in view the true spirit of democracy, his tenure should be curtailed by 41.2 %. Or you think voice of 41.2 percent bears no value?",-1
33,I can not believe Boris Johnson is still PM.... What a dickhead!!,-1
34,"Has anyone noticed that, unlike other Cabinet members queuing up to worship, there have been no “I love Boris Johnson, he’s a…",0
35,@MimiJ9 What do you think? \nDoes Boris Johnson do coke?,-1
36,"@MahyarTousi Every BBC news bulletin I\'ve listened to today, starts with ""Boris Johnson...""\nTime for @talkSPORT !",0
37,@adilray Boris Johnson lied about nearly dying.,-1
38,"@DominicRaab ""fiddling with the rules when you don\'t like the result is a bad look"" AGREED it is a bad look but that is PRECISELY what Boris Johnson has done to avoid being fired for breaking ministerial code and the LAW. You lot constantly change the rules to suit yourselves!",-1
39,"According to Lee Anderson &amp; other Boris sycophants, the BBC &amp; Labour Party can’t report whether Johnson has to go, but there’s no problem if it’s William Hague or other former Tory Ministers.\n\nKnobhead.\n\n#r4today #JohnsonOut",1
40,Boris Johnson is your PM #NotMyPM haters.,1
41,Another senior Tory opposed to Boris Johnson texts: “It’s time for the Cabinet to show some leadership and realise the game’…,0
42,"@LovelyLee_G @jamiesmart Boris Johnson\'s spokesman says the Prime Minister will transform 
the NHS into ""a light speed health care system in the age of Google Chrome”",0
43,@PeterFriel47 @elaine_stott And he thinks we are taken in by all this ...100% support Boris Johnson 👍 🙄,1
44,@StevieVanZandt Hard to stoop lower than Johnson but then again I thought Cameron was terrible but he looks state like now compared to Lying Boris,-1
45,@mentalelf Why is Boris Johnson there?,0
46,"@tombsy I seriously respect the question and there’s logic behind it. But honestly I care more about how this country is run than I do about my own political ambitions. Some of my residents can’t afford to eat - Boris Johnson in Number 10 won’t help 
them. He needs to go.",-1
47,I bet Boris Johnson doesn’t even realise that video killed the radio star.,-1
48,"@TomDrewUK CONFIDENCE VOTE\n41.2 % parliamentarians voted against Mr Boris Johnson. Keeping in view the true spirit of democracy, his tenure should be curtailed by 41.2 %. Or you think voice of 41.2 percent bears no value?",-1
49,Boris Johnson needs something major to come along to.unite / distract the Conservative &amp; Unionist Party and save his skin.\n\nLike a Referendum on Scottish Independence for example.......,0
50,"@BorisJohnson Boris Johnson,the PM who endorsed the behaviour of the scum who showed a total disregard to law abiding and decent citizens who obeyed his lockdown rules, who thinks lying is acceptable as long as you say “sorry”- you may want to draw aline under Partygate, but the voters won’t.",-1
51,"@LBC @mrjamesob @RoryStewartUK Meanwhile, Roars remains Sacked By Boris Johnson.",0
52,"Boris Johnson talking about an NHS for the times of Netflix. It’s also the times of a cost 
of living crisis, and of people choosing eating or heating or whether to feed their children or pets instead of themselves (which definitely won’t cause any health issues).",-1
53,"@Fitz90MARK @GMB @01ivi3r1u6 And never ever let Boris Johnson away with it,what they did and lied about it.🙏",-1
54,"So 41% of Conservative MPs have No Confidence in Boris Johnson\nAnd 59% just have no scruples, like Boris Johnson\n#JohnsonMustGo",-1
55,@chriscurtis94 And last night twice the number of his majority MPs voted no confidence in Boris Johnson.,-1
56,"You know what you could do to help the NHS, Boris Johnson?\n📢Put the funding in to increase bed capacity\n📢Remove barriers to medical professionals from around the world to come &amp; work in the NHS \n📢Invest more in public health.",-1
57,"I could not dig: I dared not rob:\nTherefore I lied to please the mob.\nNow all my lies are proved untrue\nAnd I must face the men I slew.\nWhat tale shall serve me here among\nMine angry and defrauded young\n\nKipling could almost have been writing 
about Boris Johnson",-1
58,@FBantor HIGNFY are majority responsible for giving Boris Johnson the positive public profile that enabled him to become PM in the first place,-1
59,Boris Johnson’s popularity is below that where Theresa May was and below that of her predecessor John Major. #BorisJohnson 🇬🇧,-1
60,"Dear UK, Would one of y’all start a @gofundme account for Boris Johnson’s hair?",-1
61,"♦️ Boris Johnson survives a vote of no-confidence that leaves him politically wounded.\n\n♦
️ Several western Balkan states meet to discuss possible EU membership.\n\n♦️ Californians head to the polls.\n\nStay up to date on today’s news 👇', 'nombre_l
ikes': 0, 'nombre_retweets': 0}
{'id': 1534174760325861376, 'date': '2022-06-07 14:05:41', 'text': ""I know it's bad news for Boris Johnson but, personally, if even 20% of my coworkers voted that they had confidence in me it would make my month"", 'nombre_likes': 0, 'nombre_retweets': 0}
{'id': 1534174664737624069, 'date': '2022-06-07 14:05:18',",0
62,@SheilaGummer @PetronellaWyatt Berk of the century Boris Johnson.,-1
63,@JohnDoe89241156 @holland_tom I think he is may be like Boris Johnson or Jacob Rees Mogg and has been playing a parody of himself so long the mask has eaten into the face,0
64,Someone must have footage of Boris Johnson snorting coke yesterday #JohnsonOut #ToriesUnfitToGovern #ToriesDevoidOfShame #ToriesPartiedWhilePeopleDied #ToriesOutNow @Conservatives @10DowningStreet @bbcnews #bbcnews,-1
65,"@DJBond6873 @DominicRaab @BBCBreakfast They really have got no shame have they! Even if Boris Johnson had gone we’d still be stuck with the rest of them, the problem is much bigger than just him",-1
66,Boris Johnson tells cabinet housing is one of the biggest costs to households…,-1
67,@spikedonline @FraserMyers Replace the words Jeremy Hunt with Boris Johnson 🙄,0
68,"@BorisJohnson pathological liar,A dangerous psychopath,A man so corrupted by power and ego 
that is destroying the fabric of the UK, I feel for the people who have been duped by this charlatan, This is no `Great leader` This is a self serving conman with only one person in mind Boris Johnson",-1
69,"We cannot have a pathological liar, law-breaker and criminal as Prime Minister  \n\nBoris Johnson has to go. \n\n#Capitalcom",-1
70,@SebastianEPayne Season 3 of Boris Johnson: Prime Minister is looking really good. Especially after the finale of 2 last night.\nNetflix governance indeed. \nAlthough they do have a nasty habit of cancelling after two very promising seasons.,1
71,"@DJBond6873 @DominicRaab @BBCBreakfast A bit like fiddling with the Northern Irish protocol after Brexit with the significant difference that Boris Johnson not only negotiated, accepted and liked the EU/UK Brexit Treaty, he allegedly co-wrote it.",-1
72,"@ZelenskyyUa @BorisJohnson You realise the majority of the UK is against Boris Johnson now? You may be happy to take the scraps he’s giving you but he’s only doing it to boost his damaged ego. He’s not helping you &amp; he doesn’t care the slightest 
bit for Ukraine. Pathetic. #GeneralElectionNow #NotMovingOn",-1
73,@SkyNews Probably showing they support for Boris Johnson. I hope it goes on their record.,-1
74,@mepo52 @YvonneBurdett3 Or the heart of Boris Johnson.,0
75,The Lib Dems will table a no confidence motion in Boris Johnson in parliament today,0
76,@MattGarrahan @khalafroula It is the UK that chooses to back the Ukraine with taxpayers money not Boris Johnson the man with his own money.  The UK want to back Ukraine but this can be done with any PM.,0
77,@DavidLammy Boris Johnson is a dead man walking. He’s got to go....A bit like the labour party for the last 25 years.#sellouts @georgegalloway,-1
78,"@ElvisFonzie @lionelbarber Zelensky is grateful for the weapons from the UK. \nOf course he will massage Johnson’s ego to maintain supply. \nThe British taxpayers are paying for these gifted weapons, Johnson is just taking the credit, as usual. \nZelensky is not an idiot, he sees Boris for what he is. 🤡",-1
79,"@SamCoatesSky @TomLarkinSky So a further 34 backbench Tory MPs voted for Boris Johnson and 
status quo but did not go so far as to publicly support him? \n\nWith a change to rules 1922 Committee allowing another ballot within 12 months and a couple of viable leadership challengers Johnson in deep trouble?",-1
80,"@IoWBobSeely @SamCoatesSky So Boris Johnson assured you of something, &amp; you believed him because?",-1
81,"@Keir_Starmer The reason why we have had to endure Boris Johnson et al. for so long is in part, because of Labour, a weak opposition not holding them to account.",0
82,Boris Johnson and the Tory revolution,0
83,@MattHancock @tomhunt1988 @BDAdyslexia @SharonHodgsonMP @HenrySmithUK Cool. When is Boris Johnson resigning?,-1
84,"@ZelenskyyUa @BorisJohnson Mr Zelenskyy, be very clear, it is the British people who are on your side, the presence of absence of Boris Johnson is not relevant. I suggest that you neither rely nor count on him; we in the UK have had to learn this the very hard way, he is only ever in anything for himself.",-1
85,"President Zelensky said it is ""great news"" that Boris Johnson survived yesterday\'s no-confidence vote. “I am glad we have not lost a very important ally,” declared Zelensky. The #AzovBattalion in #Ukraine; #BorisJohnson in Britain. Great friends to 
have in the fight for freedom!",1
86,stop calling boris johnson a drug addict and alcoholic. stop making him sound cool!,-1
87,@drcarolinej The issue most important to me this week is removing Boris Johnson from power.,-1
88,@tillythorpe @SpanishDan1 @SamCoatesSky Well there is a lot of line drawing here \ndraw the line \nTHICK marker pen to draw the line\nThen  we should really draw the line  .\n\nright about people starving out there \nBUT WE STILL HAVE TO HAVE FOOD BANKS AND THATS THE TORIES FAULT ….\n\nTIME BORIS JOHNSON RESIGN …,-1
89,"Boris Johnson vs NHS?\n""From Netflix Back to Blockbuster""\n\nthey coming for the nhs?\n\nsince brexit &amp; uk signing with usa?\n\nmeans uk is turning private?\n\nsoon will need all the private healthcare options?\njust to get care from 1 hospital?\n\nblock?\nbuster?\n\nall uk people has left nhs?",-1
90,"The #WitchHunt has found the #PrimeMinister broke the law and his home and office broke the law more than any other building in the country. If this is a Witch Hunt as Lee Anderson says, then I guess Boris Johnson is indeed a witch. #JohnsonOut133 #NoConfidenceVote",-1
91,If Liz Truss does succeed Boris Johnson you can imagine the campaign slogans…\n\n‘Trust Truss’\n‘Trust in Truss’\n‘In Liz Truss We Trust’,0
92,@_NatashaDevon @mrjamesob Translated: “I’m ashamed to have voted for Boris Johnson. But condemning racism is just one step too far for me. I’d rather vote FOR racism than AGAINST it.”,-1
93,"@BorisJohnson CONFIDENCE VOTE\n41.2 % parliamentarians voted against Mr Boris Johnson. Keeping in view the true spirit of democracy, his tenure should be curtailed by 41.2 %. Or you think voice of 41.2 percent bears no value?",-1
94,@AvonandsomerRob Boris Johnson and Gideon Osborne fairly high up the list,0
95,.@MPIainDS. Please Vote that you have confidence in Boris Johnson for the sake of this country and the Conservative Party..,1
96,@tompeck @tompeck Arguable. We have Boris Johnson as Prime Minister.,0
97,"Past UK Conservative Leaders Who Faced Leadership Challenges . LONDON (AP) — British Prime 
Minister Boris Johnson may have survived a no-confidence vote, but his grip on power is far from secure,",0
98,"@10DowningStreet CONFIDENCE VOTE\n41.2 % parliamentarians voted against Mr Boris Johnson. Keeping in view the true spirit of democracy, his tenure should be curtailed by 41.2 %. Or you think voice of 41.2 percent bears no value?",-1
99,"@DominicRaab whilst the public followed the rules, Downing Street, under the leadership of 
Boris Johnson partied, vomited, abused staff and broke all their own rules. A line will not be drawn under this sorry saga until Johnson is gone. Ex tory voter.",-1
100,"@TelePolitics Donald Trump &amp; Boris Johnson have much in common.\nUK: There is a large group of people in his own party who rebel against Johnson &amp; condemn what he has done. \nUSA: The majority of GOP politicians embrace Trump &amp; some even 
worship him.\nHow do you explain this?",0
101,"@GFarooqi One of the reasons Boris Johnson won the no-confidence motion is that 99% of them may not even know the name of their army chief.  Secondly, there is no neutral here. Thirdly, there is no Sindh House.\n # ThisIsNot90s",0
102,"@News_Letter He said that last year, he also said Boris Johnson would be a great PM and that Brexit was brilliant. Has he ever been right?",0
103,"did dishes. went to go to the market with puppy and locked myself out. waited half hour in 
the sun. went to market. saw godfather. probiotics and potato chips. boris johnson sucks.",-1
104,"Dear Johnson supporters, please explain to me how Boris Johnson is not a great, useless bag of offal.\n\nWhat is it that makes you think 🤔 ok he lies, he’s corrupt and he’s useless; that’s the man for me.",-1
105,"""Boris Johnson was one of the first who realised the menace of Russia and stood by Mr Zelenskyy to protect the free world from barbaric invasion.\n\n""The world needs such leaders. The UK is a great friend of Ukraine.\n\n""The British crown is a shield of democratic world.""",1
106,"@HomaBashWEWS I will deal with 150,000 different cords, most of which are tangled together, before I will deal with Boris Johnson ☠",0
107,@ShehabKhan @itvnews I’m not a fan of Boris Johnson but you can’t just change the rules coz you lost.,1
108,@JaneRockHouse @NadineDorries @Jacob_Rees_Mogg @pritipatel @Mike_Fabricant Boris Johnson is a Joker Simple as that Really.,0
109,@TimesRadio @lesiavasylenko The notion that only Boris Johnson would have supported Ukraine in this conflict is bizarre,0
110,@uniofglos When Boris Johnson wins a vote of confidence,0
111,"@Daniel_Rapaport They’re making it really hard not to engage with the absurdity of it all. 
This is right from the Trump/Boris Johnson playbook. Be so bad/stupid that everyone talks about it",-1
112,What do you all think about the UK Prime Minister Boris Johnson ?\n\n#Partygate #Boris #PoliticsLive #BorisJohnson #Parliament,0
113,And for the record Boris Johnson can go die a slow death,-1
114,Who would want to be Prime Minister? Boris Johnson narrowly survives a vote of confidence as 148 Tory rebels vote against him &amp; stab him in the back. It seems only time until a new leader takes the helm &amp; whilst a few will be queuing up - JEREMY HUNT looks the obvious successor.,0
115,"@OneEverything @Pete523 @GiveUsAQuid That’s what people demanded of Boris Johnson.  Are you saying there should be one rule for some, and another for everyone else?",-1
116,"Discussions within the 1922 about changing Tory Party rules to allow for another confidence vote in Boris Johnson within 12 months are ""inevitable"", I\'m told. \n\nSources tell me they feel they have the support to make changes and those on the 22 committee are open to it.",0
117,@AdamBienkov @mrjamesob Boris Johnson is no longer sane,-1
118,@Jacob_Rees_Mogg “It’s a terrible result for the PM &amp; she must resign”\nJRM after Teresa May “won” 63% of her no confidence vote.\nAlexander Boris de Pfeffel Johnson got 58%,-1
119,"Boris Johnson supporters say updating the rules to allow another vote would be unforgivable, as it’s not something you can just change on a whim, What about the  ministerial code @BorisJohnson",-1
120,"Interesting story of how wonderful our pm is, go on you tube and type in\nThe life and lies of boris johnson.\nTruly shocked",-1
121,"@BornAgainBantam @tomthespinner @23Dawne @MediaGuido @fatfei_ @leeandersonmp @BBCNews Last 
night when they made reference to Boris Johnson saying “he would do it all again” when he was referring to thanking his staff, BBC re-quoted it as if it was referring to the Civil Servants parties. …deliberate misrepresentation!",1
122,@BorisJohnson @ZelenskyyUa It appears like zelenskyy is a general reporting to Prime minister Boris Johnson &amp; President Biden.,-1
123,"⚡️“Ukrainian President Volodymyr Zelenskiy must not be pressured by world powers into accepting a bad peace deal with Russian President Vladimir Putin,” British Prime Minister Boris Johnson - Reuters reports.",0
124,"@jamabing The first prototypes for this came out as Nadine Dorries, Boris Johnson and that 
Fabricant twit, they had to hide them in plain sight in Westminster.",-1
125,@ChampionsLeague Boris Johnson’s luck!,0
126,"@BeckettUnite Why not Boris Johnson? He’s in charge of the sh#t show? By the way, good luck with that figure in towns like Scarborough &amp; Blackpool !",-1
127,@SebastianEPayne Season 3 of Boris Johnson: Prime Minister is looking really good. Especially after the finale of 2 last night.\nNetflix governance indeed. \nAlthough they do have a nasty habit of cancelling after two very promising seasons.,1
128,"@DJBond6873 @DominicRaab @BBCBreakfast A bit like fiddling with the Northern Irish protocol after Brexit with the significant difference that Boris Johnson not only negotiated, accepted and liked the EU/UK Brexit Treaty, he allegedly co-wrote it.",0
129,"@ZelenskyyUa @BorisJohnson You realise the majority of the UK is against Boris Johnson now? You may be happy to take the scraps he’s giving you but he’s only doing it to boost his damaged ego. He’s not helping you &amp; he doesn’t care the slightest 
bit for Ukraine. Pathetic. #GeneralElectionNow #NotMovingOn",-1
130,@SkyNews Probably showing they support for Boris Johnson. I hope it goes on their record.,-1
131,@mepo52 @YvonneBurdett3 Or the heart of Boris Johnson.,0
132,The Lib Dems will table a no confidence motion in Boris Johnson in parliament today,0
133,"Boris ""oven-ready deal"" Johnson wanting to move on to cutting costs businesses and families face and focus on ""levelling up"" is like Dunkin\' Donuts wanting to move on to cutting diabetes and focus on dieting. Does he think voters are stupid?",-1
134,"@JAC173 @drcarolinej I wrote a letter too with the same sentiment. Dr Johnson will not be getting my vote next time. I may reconsider if Boris is gone and there is a new, direction with an honest leader with some integrity.",-1
135,@GBNEWS She makes it sound as if Boris Johnson is the victim??? This is all his own doing.,-1
136,"@VoteBPB Genuinely incredible stuff. At this point you can only really admire the brassneck of it, even Boris fuckin Johnson would stop short of that level of sheer, brazen bullshit.",-1
137,"@alexmassie I am fed up with the war in Ukraine being used in regards to the domestic political mess of this country and whether the PM should stay or go. \nConflation of two totally separate issues. WE are not at war.  Support for Ukraine is something WE ALL are doing, not just Boris Johnson",0
138,"@dalke_brian @JustinXiDeau After only narrowly escaping a no confidence vote, Boris Johnson is going to be giddy when he hears that Brian says he can blame petrol skyrocketing and inflation of over 9% in the UK on JT",0
139,"UK politics once again emerges as an FX driver as Boris Johnson survives the no confidence 
vote. However, pound volatility may also be due to the UK markets reopening after a 4-day break. With no clear economic implications, the political instability theme might be overbought.",0
140,@funder Who’s wins worst leader in history - Donald Trump or Boris Johnson?,-1
141,@doctor_oxford God bless Boris Johnson the UK’s only PM a great man for our Great Britain,1
142,"Tonight on #CommonGround at 9pm 👇\n\n💬 Common Ground: Can the Conservatives win again under Boris Johnson?\n\n👥 On the show are former Cabinet Minister @DavidGauke, former minister Ann Widdecombe and Conservative MP @CWhittaker_MP\n\n📺 Sky 501, Virgin 602, Freeview 233 and YouTube",0
143,"@LBC @LBC , Johnson is not our mate. Its not ""Boris"", it\'s ""Johnson"".\nSort it out.",1
144,@verycentrist @SittonGary @AdamBienkov Not fun for people in that A and E waiting room or people relying on food banks is it? But hey at least you have what you wanted: no jam man in charge and Boris Johnson running the shit show. You must be so pleased with yourself Tory boy.,-1
145,@bdquinn Exactly how far into Elden Ring is Boris Johnson?,0
146,"Having barely scraped through a vote of no confidence Boris Johnson is no longer seen as a 
lazy entitled liar and cheat! Hurrah!",1
147,"@BBCWorld Is he? Boris Johnson turned a blind to Russian money laundering, he is not helping the refugees. What is he grateful for?",-1
148,"Reacting to Monday night\'s result, cabinet minister Nadhim Zahawi said he thought President Zelensky would be ""punching the air because he knows his great ally Boris Johnson will be prime minister tomorrow morning"". Rock on Mr Zahawi. 👇👍",1
149,"Labour deputy leader calling Boris Johnson a liar what can she call herself. When a stupid 
person calling sm1 stupid whereas that person is stupid and arrogant. She’s in the same shoes just like BJ and her leader KS.",-1
150,The general public continue to have no faith in Boris Johnson and for the good of the country he should\n\n                        resign,-1
151,Anyone who seriously thinks that Boris Johnson MP has got all the big calls right is basically a complete and utter idiot.,-1
152,"@Iskandr_Whatevr And is Boris Johnson ready to sit in the same room  with, share intelligence with and share defence contracts with Macron? He always seems very threatened when in his presence",-1
153,"By contrast, Zelenskyy said it was ‘great news’ that British prime minister Boris Johnson had survived a no-confidence vote by Conservative MPs on Monday night.\n‘I am glad we have not lost a very important ally.’”",1
154,Boris Johnson’s new pledge to transform the NHS into a “blockbuster health care system in the age of Netflix” would not m…,0
155,"@LibrtarianLeft @DaveChampion73 Wait until he hears the things Boris ""fuck business"" Johnson has said.",0
156,"😳Ei small party Boris Johnson go, them dey want impeach am.\nU cannot tell me this story in Ghana 😅",0
157,@mm04cjm @jessphillips 17 times she failed to declare earnings. But it was a mistake. \n\nLet’s now pretend Boris Johnson did this ONCE and see what results from it.,1
158,@MirrorPolitics @mrjamesob I would say it’s because women are held to a higher standard than men in these positions but I think everyone is held to a higher standard than Boris Johnson. Him actually having standards would be something.,-1
159,"@KEdge23 Nah it’s not the media , it’s the British people who are sick of Boris Johnson’s lying ,corrupt nonsense , the media have been if anything idiotically supportive and enabling of the liar, up until Partygate ;the reveal of his blatant flouting of laws he put in place",-1
160,"@JohnJCrace I wish this was true, John.\nBoris Johnson and Donald Trump will surface cause 
of lack of weight. Both are supported by ultra right conservatives, creepy people, but the guys with the cash.",-1
161,"So Boris Johnson got 59% of the votes yesterday and the left go into meltdown and claim he 
should go, even though he won. \n\nStarmer, when elected leader of Labour, got a mere 56.2%. \n\nProving once again lefties are mentally deranged.",1
162,"I reckon Gareth Southgate and Boris Johnson should swap jobs,\n\nAs prime minister Southgate would bring some much needed respectability to the nation and Johnson might bring that-win-at-all-costs deviousness that the football team sadly lack \n\n#england",0
163,@AdamBienkov Boris Johnson: New episodes weakly,-1
164,@SteveLawrence_ @BorisJohnson Applied before his time and bid was successful in 2005. Likewise the Boris bike was put in by livingstone. Johnson is a supreme opportunist,-1
165,"Do you think Boris Johnson should resign from his role as Prime Minister, or should remain 
in his role?\n\nShould resign: 60% (+1)\nShould remain in his role: 31% (+1)\n\nvia @YouGov, 7 Jun\n\n(Changes with 25 May)",-1
166,"Rory Stewart was an active participant in a government whose austerity policies killed 120k people.\n\n""Yeah, but he\'s well spoken and he doesn\'t like Boris Johnson.""\n\nFuck off, you know-nothing centrist wankers. You\'re praising him for being slightly less bad than Boris Johnson.",1
167,"KEEP THE UVALDE SHOOTING FRONT AND CENTER IN THE NEWS. THIS NEEDS TO STOP NOW. DO NOT LET IT GET SWEPT AWAY.\n\nSeriously, fuck the Royal Family, fuck Boris Johnson, fuck the other bullshit in the news. Hold those cops and these dumbass senators accountable. #UvaldeschoolMassacre",-1
168,"@Nigel_Farage Nigel Farage - I’ve always liked you, but this hatred of Boris Johnson has to stop 🛑 he is our Prime-Minister .",1
169,@GuidoFawkes It’s hardly the BBC’s fault if Boris Johnson’s thick MP’s  think that their leader looks like an obese serial killer is it ? 🤷\u200d♂️,-1
170,"Why are the BBC referring to the leader of Ukraine, when debating whether Boris Johnson should stay or go.\nIt is irrelevant what he thinks or wants.\n\nI thought we were supposed to be talking back control.",0
171,"@chrisbrighton10 @BorisJohnson Everything Boris Johnson does is dangerous. He has brought the office of PM into disrepute. He is destroying the economy through his hard Brexit, and he will destroy any institution in order to stay in power. #BorisJohnsonOut #NotMovingOn",-1
172,"@JeremyVineOn5 @Bren4Bassetlaw @theJeremyVine Boris Johnson lied about the severity of his 
covid illness, saying he nearly died, to gain sympathy and avoid criticism. So if you hold that opinion be consist and not a hypocrite",-1
173,"Allies of Boris Johnson dismissing as “bonkers” claims Jeremy Hunt could be made chancellor\n\n“Jeremy has formulated this s**tshow, it’s an utter disgrace,” says a source",1
174,"@BBCBreakfast @sajidjavid ""If they pay for it... they will appreciate it more""\nBoris Johnson about the NHS.",0
175,@ZelenskyyUa I greatly admire you &amp; your country’s fight against Russia’s illegal invasion. \nI would like to point out that Scotland is democratically seeking to become an independent nation. Boris Johnson is not allowing Scotland to vote on that issue. \nDo you agree that is undemocratic?,-1
176,"@Sheilameadow @GBNEWS It was Labour &amp; Sadiq Khan who used political influence to involve the Met police. Sue Gray’s report exonerated Boris Johnson. Still not content with that the witch hunt continued, still going on now! Shameful!",1
177,"@AndrewBowie_MP Get this wee drama queen prick.\n\nYou rightly voted against Boris Johnson, he partied as people died then lied repeatedly about it. That’s a matter of public record so @ScotGovFM will use it if she likes.\n\nMeantime I think it’s high time you saved a rural phone box or 2\n\nArse 😂",-1
178,Please I don’t know how can I find out where I can come with friends very many friends to boo Boris Johnson. A list of areas and times would be very welcome. Anyone else onboard?,-1
179,"You just know Boris Johnson said to Nadine Dorries ""you\'ve written books, haven\'t you? You can be the minister for culture and sport and books and the Internet and all that arty stuff"".",-1
180,"@Bigalanh5 Give it up Al, it’s like arguing with Boris Johnson supporters 🤣",-1
181,"🇬🇧 NEW: PM Boris Johnson could   face ANOTHER confidence vote within six months as 1922 Committee looks at rule change, says rebel MP Tobias Elwood. \n\nSource: @skynews",0
182,"Ukrainian President Volodymyr #Zelensky says he is ""very happy"" Boris #Johnson remains in post as Prime Minister.\n\n""I\'m glad we haven\'t lost an important ally, this is great news,"" he says\n\n#Ukraine",1
183,"Party Leader Approval Ratings:\n\n🌹Keir Starmer (LAB): 30% (=)\n🌳Boris Johnson (CON): 24% (-2)\n\nvia @YouGov, 4-6 Jun\n\n(Changes with 9 May)",-1
